"","V1","V2","V3","V4"
"ACTAEA1",0,0,2,1
"ACTAEA2",0,0,0,0
"ACTAEA3",0,0,0,0
"ACTSEA1",0,0,0,0
"ACTSEA2",0,5,1,1
"ACTSEA3",5,1,3,0
"ACPAEA1",1,0,0,1
"ACPAEA2",0,0,0,0
"ACPAEA3",0,0,0,0
"ACPSEA1",0,0,1,0
"ACPSEA2",0,0,1,0
"ACPSEA3",0,1,3,3
"AT1",0,0,3,2
"AT2",1,1,0,0
"AT3",1,0,0,1
"BCTAEA1",0,0,2,0
"BCTAEA2",0,0,2,0
"BCTAEA3",0,0,2,0
"BCTSEA1",0,0,0,0
"BCTSEA2",0,2,2,1
"BCTSEA3",0,1,1,2
"BCPAEA1",0,2,1,0
"BCPAEA2",0,3,0,0
"BCPAEA3",0,1,0,2
"BCPSEA1",0,0,0,0
"BCPSEA2",0,0,1,0
"BCPSEA3",0,0,0,0
"BT1",0,2,1,0
"BT2",1,0,0,1
"BT3",0,0,0,0
"CCTAEA1",0,0,2,2
"CCTAEA2",1,3,4,1
"CCTAEA3",1,4,6,0
"CCTSEA1",3,3,2,0
"CCTSEA2",3,1,5,2
"CCTSEA3",0,1,2,0
"CCPAEA1",2,0,0,0
"CCPAEA2",4,1,1,0
"CCPAEA3",0,0,0,0
"CCPSEA1",0,1,0,1
"CCPSEA2",1,1,1,1
"CCPSEA3",0,1,1,2
"CT1",0,0,1,0
"CT2",1,0,6,1
"CT3",1,0,2,0
"DCTAEA1",2,2,6,3
"DCTAEA2",0,2,0,1
"DCTAEA3",0,0,1,1
"DCTSEA1",0,0,0,1
"DCTSEA2",0,3,1,1
"DCTSEA3",0,2,3,1
"DCPAEA1",0,0,0,1
"DCPAEA2",1,0,1,0
"DCPAEA3",0,1,2,0
"DCPSEA1",0,0,0,0
"DCPSEA2",1,1,2,0
"DCPSEA3",0,1,2,0
"DT1",1,0,0,0
"DT2",0,3,1,1
"DT3",0,1,2,0
